ID,Type,M_V,V,RGC,Glon,Glat,Vhel,e_Vhel,Vrf,Catalog
HVS1,B,-0.3,19.83,111,227.33,31.33,840,NA,696,SDSSJ090744.99+024506.9
HVS2,sdO,2.6,19.05,26,175.99,47.05,708,NA,717,US708
HVS3,B,-2.7,16.2,62,263.04,-40.91,723,NA,548,HE0437-5439
HVS4,B,-0.9,18.5,82,194.76,42.56,611,NA,566,SDSSJ091301.01+305119.8
HVS5,B,-0.3,17.7,45,146.23,38.7,553,NA,649,SDSSJ091759.48+672238.3
HVS6,B,-0.3,19.11,78,243.12,59.56,626,NA,528,SDSSJ110557.45+093439.5
HVS7,B,-1.1,17.8,60,263.83,57.95,529,NA,416,SDSSJ113312.12+010824.9
HVS8,B,-0.3,18.09,53,211.7,46.33,489,NA,407,SDSSJ094214.04+200322.1
HVS9,B,-0.3,18.76,68,244.63,44.38,628,NA,485,SDSSJ102137.08-005234.8
HVS10,B,-0.3,19.36,87,249.93,75.72,478,NA,432,SDSSJ120337.85+180250.4
HVS11,A,0.6,19.7,70,238.76,40.63,482,19,336,SDSSJ095906.48+000853.4
HVS12,A/BHB,0.6,19.76,70,247.11,52.46,552,11,429,SDSSJ105009.60+031550.7
HVS13,B,-0.3,20.16,125,251.65,50.64,575,11,443,SDSSJ105248.31-000133.9
HVS14,B,-0.3,19.89,112,241.78,53.2,532,13,416,SDSSJ104401.75+061139.0
HVS15,B,-0.3,19.33,85,266.51,55.92,463,11,343,SDSSJ113341.09-012114.2
HVS16,B,-0.3,19.49,90,285.86,67.38,443,14,367,SDSSJ122523.40+052233.8
pHVS,A,1.3,20.18,65,162.98,46.34,235,NA,279,SDSSJ094014.56+530901.7
pHVS,A,0.6,19.95,79,155.49,49.45,228,NA,289,SDSSJ101359.79+563111.7
pHVS,A,0.6,19.54,59,0.14,69.28,279,NA,289,SDSSJ140306.54+145005.0
pHVS,A,0.6,20.3,83,39.36,50.87,193,NA,293,SDSSJ154556.10+243708.9
pBHVS,B,-0.3,17.38,40,189.17,-48.75,314,NA,279,SDSSJ032054.69-060616.0
pBHVS,B,-0.3,18.56,66,196.07,23.21,361,NA,298,SDSSJ074950.24+243841.2
pBHVS,B,-0.3,17.43,42,160.45,34.2,229,NA,288,SDSSJ081828.07+570922.1
pBHVS,B,-0.3,18.23,57,186.3,42.16,306,NA,285,SDSSJ090710.08+365957.5
pBHVS,B,-0.3,18.13,51,251.2,54.36,451,NA,331,SDSSJ110224.37+025002.8
pBHVS,B,-0.3,18.31,53,274.88,57.45,424,NA,310,SDSSJ115245.91-021116.2
pBHVS,B,-0.3,17.64,39,65.34,72.37,228,NA,298,SDSSJ140432.38+352258.4
pBHVS,A,0,18.56,49,357.16,63.62,284,NA,290,SDSSJ141723.34+101245.7
