ID,Type,Vhel,e_Vhel,Vrf,g,Mg,RGC,Glon,Glat,Catalog
HVS1,NA,840,NA,673,19.69,0.41,76,227.33,31.33,SDSS J090744.99+024506.88
HVS2,NA,708,NA,718,19.05,2.6,26,175.99,47.05,US708
HVS3,NA,723,NA,520,16.2,-2.7,62,263.04,-40.91,HE0437-5439
HVS4,NA,611,NA,559,18.31,-0.66,69,194.76,42.56,SDSS J091301.01+305119.83
HVS5,NA,553,NA,664,17.56,0.04,36,146.23,38.7,SDSS J091759.47+672238.35
HVS6,NA,626,NA,511,18.97,0.1,61,243.12,59.56,SDSS J110557.45+093439.47
HVS7,NA,529,NA,396,17.64,-0.19,37,263.83,57.95,SDSS J113312.12+010824.87
HVS8,NA,489,NA,393,17.94,0.01,46,211.7,46.33,SDSS J094214.03+200322.07
HVS9,NA,628,NA,461,18.64,0.34,47,244.63,44.38,SDSS J102137.08-005234.77
HVS10,NA,478,NA,423,19.22,0.21,66,249.93,75.72,SDSS J120337.85+180250.35
HVS12,NA,552,NA,408,19.61,0.13,82,247.11,52.46,SDSS J105009.59+031550.67
HVS13,NA,575,NA,421,20.02,0.09,101,251.65,50.64,SDSS J105248.30-000133.94
HVS14,NA,532,NA,396,19.72,-0.25,96,241.78,53.2,SDSS J104401.75+061139.02
HVS17,B,246,9,442,17.43,-0.74,50,73.52,41.16,SDSS J164156.39+472346.12
HVS18,B,251,10,473,19.3,0.05,75,103.64,-26.77,SDSS J232904.94+330011.47
HVS19,A,597,15,490,20.06,0.35,89,256.05,63.74,SDSS J113517.75+080201.49
HVS20,A,504,12,381,19.81,0.54,69,262.56,60.39,SDSS J113637.13+033106.84
HVS21,B,355,10,392,19.73,-0.23,100,165.26,56.11,SDSS J103418.25+481134.57
pHVS,NA,477,NA,307,19.58,0.68,64,238.77,40.63,SDSS J095906.47+000853.41
pHVS,NA,222,NA,292,19.83,0.53,77,155.5,49.46,SDSS J101359.79+563111.65
pHVS,NA,496,NA,353,18.86,0.28,54,256.27,54.55,SDSS J111136.44+005856.44
pHVS,NA,463,NA,322,19.15,-0.29,78,266.51,55.92,SDSS J113341.09-012114.25
pHVS,NA,434,NA,345,19.33,-0.03,74,285.86,67.38,SDSS J122523.40+052233.84
pBHVS,NA,150,NA,321,17.14,0.29,27,115.82,-40.58,SDSS J002810.33+215809.66
pBHVS,NA,136,NA,311,17.77,0.03,40,125.05,-31.26,SDSS J005956.06+313439.29
pBHVS,NA,108,NA,276,17.19,0.18,30,127.53,-31.42,SDSS J010948.30+311727.66
pBHVS,NA,361,NA,288,18.39,-0.25,61,196.07,23.21,SDSS J074950.24+243841.16
pBHVS,NA,229,NA,297,17.28,0.06,34,160.45,34.2,SDSS J081828.07+570922.07
pBHVS,NA,306,NA,282,18.08,0.14,45,186.3,42.16,SDSS J090710.07+365957.54
pBHVS,NA,504,NA,339,18.48,0.39,44,247.97,46.42,SDSS J103357.26-011507.35
pBHVS,NA,448,NA,285,19.23,0.14,68,250.71,47.87,SDSS J104318.29-013502.51
pBHVS,NA,482,NA,309,17.38,0.08,30,269.75,47.3,SDSS J112255.77-094734.92
pBHVS,NA,140,NA,291,19.13,0.47,58,130.08,40.59,SDSS J112359.47+751807.73
pBHVS,NA,424,NA,290,18.13,-0.07,44,274.88,57.45,SDSS J115245.91-021116.21
pBHVS,NA,228,NA,309,17.49,0.06,31,65.34,72.37,SDSS J140432.38+352258.41
pBHVS,NA,284,NA,289,18.4,0.22,40,357.16,63.62,SDSS J141723.34+101245.74
pBHVS,NA,206,NA,278,18.88,-0.12,58,18.68,44.85,SDSS J154806.92+093423.93
pBHVS,NA,62,NA,292,17.51,0.12,29,75.71,28.06,SDSS J180050.86+482424.63
pBHVS,NA,133,NA,290,17.35,0.41,25,85.47,-51.67,SDSS J232229.47+043651.45
