#
# Hypervelocity star candidates from:
# "Flying far and fast: the distribution of distant hypervelocity star candidates from Gaia DR2 data"
# by R. de la Fuente Marcos and C. de la Fuente Marcos
# A&A, in press (eprint arXiv:1906.05227)
# URL: https://ui.adsabs.harvard.edu/abs/2019arXiv190605227D/abstract
# Queries: rauldelafuentemarcos@ucm.es, nbplanet@fis.ucm.es
# Data from tables 2, 3, 4 ,5 , 6 and 7
#
# First 14 columns from Gaia DR2
# d_GC(50thperc) Median value of the Galactocentric distance from Monte Carlo samplig as described in the paper (kpc)
# d_GC(16thperc) lower value of the uncertainty (16th percentile - median) (kpc)
# d_GC(84thperc) upper value of the uncertainty (84th percentile - median) (kpc)
# v_GC(50thperc) Median value of the Galactocentric velocity from Monte Carlo samplig as described in the paper (km/s)
# v_GC(16thperc) lower value of the uncertainty (16th percentile - median) (km/s)
# v_GC(84thperc) upper value of the uncertainty (84th percentile - median) (km/s)
#
Gaia_DR2_designation,alpha,delta,l,b,par,sigma_par,mu_alpha,sigma_mu_alpha,mu_delta,sigma_mu_delta,V_r,sigma_V_r,d_GC(50thperc),d_GC(16thperc),d_GC(84thperc),v_GC(50thperc),v_GC(16thperc),v_GC(84thperc)
1867261981412622976,317.50283948290,+35.06321358265,79.98394750766,-8.75202945162,0.0307,0.0146,-2.120,0.020,-3.357,0.023,-46.07,1.47,32.2,-10.0,+28.8,608,-181,+533
2076234920873478272,294.95021989885,+39.26741709907,73.02211904083,+8.29595299575,0.0308,0.0146,-2.328,0.024,-4.329,0.027,-73.00,1.08,30.9,-9.8,+28.1,711,-229,+657
2130229806599268480,287.78291416193,+45.49653404425,76.40831708998,+15.76370451034,0.0295,0.0141,-1.842,0.026,-3.525,0.029,-115.79,1.72,33.1,-10.5,+30.4,603,-199,+573
5252768161477321472,151.81209119622,-63.07207249907,285.53624820401,-5.88769893896,0.0319,0.0152,-4.431,0.027,+3.169,0.025,+64.84,0.82,30.2,-9.5,+28.2,751,-249,+732
5303914835370054656,135.88008255316,-57.43383739232,275.88018014633,-7.07867974501,0.0312,0.0148,-2.298,0.031,+2.572,0.033,+108.09,1.37,32.2,-9.7,+27.8,506,-158,+456
5304019117178317312,137.68599081936,-56.73618453511,276.01906096699,-5.88263899848,0.0310,0.0154,-2.551,0.031,+2.712,0.034,+122.46,2.91,32.4,-10.2,+31.1,545,-182,+553
5317229302706969088,133.82399802206,-54.56011892711,272.93005017631,-6.08394727436,0.0296,0.0142,-2.743,0.027,+3.231,0.025,+93.75,1.13,34.3,-10.5,+30.3,672,-212,+611
5317776481532378240,130.49490546902,-54.79662905248,271.90741854172,-7.73602796070,0.0317,0.0158,-3.186,0.031,+4.565,0.028,+114.04,0.33,32.3,-9.9,+30.3,821,-270,+810
5489467833544327040,117.63555537419,-53.40035704153,266.59793639347,-13.34069255350,0.0335,0.0145,-0.908,0.030,+4.537,0.028,+129.16,0.95,31.4,-8.6,+22.1,655,-193,+491 
5531793499296526336,116.33885534981,-44.89073152454,258.52760575222,-10.06954996387,0.0354,0.0174,-1.462,0.031,+3.101,0.029,+80.86,3.35,31.0,-8.8,+26.4,523,-141,+426
